Commodity,horizon_months,mae_raw,mape_raw,n
Soybean Meal,19.0,1320.0833333333333,2.953123459338069,12
Soybean Meal,20.0,1343.0714285714287,3.026081657980986,14
Soybean Meal,21.0,1309.2857142857142,2.93690235724461,14
Soybean Meal,22.0,1094.2857142857142,2.39795771266223,14
Soybean Meal,23.0,1192.857142857143,2.5871877158112975,14
Soybean Meal,24.0,1203.5714285714287,2.600114499951436,14
Soybean Oil,1.0,0.3125,0.0013145717651018003,16
Soybean Oil,2.0,0.3333333333333333,0.0014022098827752537,15
Soybean Oil,3.0,5.4,0.02161628526547267,15
Soybean Oil,4.0,5.428571428571429,0.021657937910032947,14
Soybean Oil,5.0,5.4,0.02161628526547267,15
Soybean Oil,6.0,5.466666666666667,0.021956178538984787,15
Soybean Oil,7.0,56.53846153846154,0.2637713137413541,13
Soybean Oil,8.0,72.33333333333333,0.3347255617111379,15
Soybean Oil,9.0,140.73333333333332,0.6251107192795893,15
Soybean Oil,10.0,186.73333333333332,0.8427682072124407,15
Soybean Oil,11.0,259.0,1.1699448775242127,15
Soybean Oil,12.0,350.6666666666667,1.5974309802137936,15
Soybean Oil,13.0,428.3333333333333,1.9679425747950234,15
Soybean Oil,14.0,492.57142857142856,2.244232679388885,14
Soybean Oil,15.0,455.5,2.0743454431253543,14
Soybean Oil,16.0,497.61538461538464,2.2758440487385547,13
Soybean Oil,17.0,513.6428571428571,2.35677137570756,14
Soybean Oil,18.0,567.9285714285714,2.622970452238358,14
Soybean Oil,19.0,646.5,2.9796821192396306,12
Soybean Oil,20.0,703.6428571428571,3.2591825995809294,14
Soybean Oil,21.0,661.5714285714286,3.0790353089494316,14
Soybean Oil,22.0,530.5,2.4512088884564056,14
Soybean Oil,23.0,594.8571428571429,2.7105881216510235,14
Soybean Oil,24.0,607.7142857142857,2.7563343885816987,14
Soybeans,1.0,0.0,0.0,16
Soybeans,2.0,0.0,0.0,15
Soybeans,3.0,0.0,0.0,15
Soybeans,4.0,0.0,0.0,14
Soybeans,5.0,0.06666666666666667,0.0015110305228165609,15
Soybeans,6.0,0.06666666666666667,0.0015110305228165609,15
Soybeans,7.0,0.07692307692307693,0.001743496757096032,13
Soybeans,8.0,29.2,0.7459960964598146,15
Soybeans,9.0,29.2,0.7459960964598146,15
Soybeans,10.0,29.2,0.7459960964598146,15
Soybeans,11.0,29.2,0.7459960964598146,15
Soybeans,12.0,29.533333333333335,0.755380480844199,15
Soybeans,13.0,29.6,0.7572573577210758,15
Soybeans,14.0,31.714285714285715,0.811347168986867,14
Soybeans,15.0,31.785714285714285,0.8131665416671668,14
Soybeans,16.0,25.307692307692307,0.6742029784419257,13
Soybeans,17.0,56.42857142857143,1.463285009620024,14
Soybeans,18.0,56.42857142857143,1.463285009620024,14
Soybeans,19.0,63.5,1.6845771877718414,12
Soybeans,20.0,111.92857142857143,3.076435301588115,14
Soybeans,21.0,135.71428571428572,3.5761309141586186,14
Soybeans,22.0,134.71428571428572,3.392373883723745,14
Soybeans,23.0,217.78571428571428,5.6082370628714875,14
Soybeans,24.0,217.78571428571428,5.6082370628714875,14
Sugar,1.0,0.4375,0.0050542975970425145,16
Sugar,2.0,1.0,0.011504345504903127,15
Sugar,3.0,1.6,0.018934136004281076,15
Sugar,4.0,2.0714285714285716,0.024077997328551277,14
Sugar,5.0,4.2,0.04736020938735748,15
Sugar,6.0,8.333333333333334,0.093015520533096,15
Sugar,7.0,54.53846153846154,0.6158208104097389,13
Sugar,8.0,73.66666666666667,0.8646993294823268,15
Sugar,9.0,80.53333333333333,0.9425270144199026,15
Sugar,10.0,80.86666666666666,0.9475387401956666,15
Sugar,11.0,92.73333333333333,1.0682751860885926,15
Sugar,12.0,96.46666666666667,1.112664283133214,15
Sugar,13.0,118.53333333333333,1.3581841102305219,15
Sugar,14.0,140.0,1.6045459328565603,14
